,id,fecha,documento,concepto,fecha_indicativa,valor,documento__id,receipt_type,vinculo__id,periodo
1,155,2024-03-05,Recibo X 0001-00000019,,2024-03-05,3000.00,40,Recibo X,146.0,2024-03
2,153,2024-03-05,Recibo X 0001-00000019,,2024-03-05,-10000.00,40,Recibo X,151.0,2024-03
4,150,2024-03-05,Recibo X 0001-00000018,,2024-03-05,2000.00,38,Recibo X,146.0,2024-03
5,149,2024-03-05,Recibo X 0001-00000018,,2024-03-05,-2000.00,38,Recibo X,147.0,2024-03
8,143,2024-03-05,Nota de Credito X 0001-00000003,,2024-03-01,-1000.00,35,Nota de Credito X,134.0,2024-03
9,142,2024-03-05,Nota de Credito X 0001-00000003,,2024-03-04,-2000.00,35,Nota de Credito X,140.0,2024-03
11,139,2024-03-01,Recibo X 0001-00000016,,2024-03-01,2000.00,33,Recibo X,129.0,2024-03
12,138,2024-03-01,Recibo X 0001-00000016,,2024-03-01,-2000.00,33,Recibo X,136.0,2024-03
15,132,2024-03-01,Recibo X 0001-00000015,,2024-02-28,-1000.00,30,Recibo X,73.0,2024-02
16,131,2024-03-01,Recibo X 0001-00000014,,2024-03-01,1000.00,29,Recibo X,129.0,2024-03
17,130,2024-03-01,Recibo X 0001-00000014,,2024-02-28,-1000.00,29,Recibo X,71.0,2024-02
19,126,2024-03-01,Recibo X 0001-00000012,,2024-02-28,-1000.00,27,Recibo X,69.0,2024-02
20,123,2024-03-01,Recibo X 0001-00000011,,2024-02-28,-1000.00,26,Recibo X,67.0,2024-02
21,122,2024-03-01,Recibo X 0001-00000011,,2024-02-28,-1000.00,26,Recibo X,65.0,2024-02
22,121,2024-03-01,Recibo X 0001-00000011,,2024-02-28,-1000.00,26,Recibo X,63.0,2024-02
23,120,2024-03-01,Recibo X 0001-00000011,,2024-02-28,-1000.00,26,Recibo X,61.0,2024-02
24,119,2024-03-01,Recibo X 0001-00000011,,2024-02-28,-1000.00,26,Recibo X,59.0,2024-02
25,117,2024-03-01,Nota de Credito X 0001-00000002,,2024-02-28,-1000.00,25,Nota de Credito X,57.0,2024-02
26,116,2024-03-01,Nota de Credito X 0001-00000002,,2024-02-28,-1000.00,25,Nota de Credito X,55.0,2024-02
27,115,2024-03-01,Nota de Credito X 0001-00000002,,2024-02-28,-1000.00,25,Nota de Credito X,53.0,2024-02
